6201040002,TEMPAYUNG,62.01.03.2002,TEMPAYUNG,6201040
6201040003,SAKABULIN,62.01.03.2003,SAKABULIN,6201040
6201040004,KINJIL,62.01.03.2004,KINJIL,6201040
6201040005,KOTA WARINGIN HILIR,62.01.03.1008,KOTAWARINGIN HILIR,6201040
6201040006,RIAM DURIAN,62.01.03.2006,RIAM DURIAN,6201040
6201040007,DAWAK,62.01.03.2005,DAWAK,6201040
6201040008,KOTAWARINGIN HULU,62.01.03.1007,KOTAWARINGIN HULU,6201040
6201040009,LALANG,62.01.03.2009,LALANG,6201040
6201040010,RUNGUN,62.01.03.2010,RUNGUN,6201040
6201040011,KONDANG,62.01.03.2011,KONDANG,6201040
6201040012,SUKAMULYA,62.01.03.2017,SAGU SUKA MULYA,6201040
6201040013,SUKAJAYA,62.01.03.2012,SUKA JAYA,6201040
6201040015,SUKA MAKMUR,62.01.03.2013,SUKA MAKMUR,6201040
6201040018,IPUH BANGUN JAYA,62.01.03.2016,IPUH BANGUN JAYA,6201040
6201040019,SUMBER MUKTI,62.01.03.2014,SUMBER MUKTI,6201040
6201040020,PALIH BARU,62.01.03.2015,PALIH BARU,6201040
6201050001,TANJUNG PUTRI,62.01.02.2001,TANJUNG PUTRI,6201050
6201050002,KUMPAI BATU BAWAH,62.01.02.2014,KUMPAI BATU BAWAH,6201050
6201050003,KUMPAI BATU ATAS,62.01.02.2015,KUMPAI BATU ATAS,6201050
6201050004,PASIR PANJANG,62.01.02.2004,PASIR PANJANG,6201050
6201050005,MENDAWAI,62.01.02.1003,MENDAWAI,6201050
6201050006,MENDAWAI SEBERANG,62.01.02.1002,MENDAWAI SEBERANG,6201050
6201050007,RAJA,62.01.02.1007,RAJA,6201050
6201050008,SIDOREJO,62.01.02.1006,SIDOREJO,6201050
6201050009,MADUREJO,62.01.02.1005,MADUREJO,6201050
6201050010,BARU,62.01.02.1009,BARU,6201050
6201050011,RAJA SEBERANG,62.01.02.1008,RAJA SEBERANG,6201050
6201050012,RANGDA,62.01.02.2010,RANGDA,6201050
6201050013,KENAMBUI,62.01.02.2011,KENAMBUI,6201050
6201050014,RUNTU,62.01.02.2012,RUNTU,6201050
6201050015,UMPANG,62.01.02.2013,UMPANG,6201050
6201050016,NATAI RAYA,62.01.02.2016,NATAI RAYA,6201050
6201050017,MEDANGSARI,62.01.02.2017,MEDANG SARI,6201050
6201050018,NATAI BARU,62.01.02.2018,NATAI BARU,6201050
6201050019,TANJUNG TERANTANG,62.01.02.2019,TANJUNG TERANTANG,6201050
6201050020,SULUNG,62.01.02.2020,SULUNG,6201050
6201060001,SUNGAI CABANG,62.01.01.2001,SUNGAI CABANG,6201060
6201060002,TELUK PULAI,62.01.01.2002,TELUK PULAI,6201060
6201060003,SUNGAI SEKONYER,62.01.01.2014,SUNGAI SEKONYER,6201060
6201060004,KUBU,62.01.01.2007,KUBU,6201060
6201060005,SUNGAI BAKAU,62.01.01.2006,SUNGAI BAKAU,6201060
6201060006,TELUK BOGAM,62.01.01.2005,TELUK BOGAM,6201060
6201060007,KERAYA,62.01.01.2004,KERAYA,6201060
6201060008,SEBUAI,62.01.01.2003,SABUAI,6201060
6201060009,SUNGAI KAPITAN,62.01.01.2008,SUNGAI KAPITAN,6201060
6201060010,KUMAI HILIR,62.01.01.1013,KUMAI HILIR,6201060
6201060011,BATU BELAMAN,62.01.01.2009,BATU BELAMAN,6201060
6201060012,SUNGAI TENDANG,62.01.01.2010,SUNGAI TENDANG,6201060
6201060013,CANDI,62.01.01.1011,CANDI,6201060
6201060014,KUMAI HULU,62.01.01.1012,KUMAI HULU,6201060
6201060015,SUNGAI BEDAUN,62.01.01.2015,SUNGAI BEDAUN,6201060
6201060016,SABUAI TIMUR,62.01.01.2034,SABUAI TIMUR,6201060
6201060031,BUMI HARJO,62.01.01.2017,BUMI HARJO,6201060
6201060032,PANGKALAN SATU,62.01.01.2032,PANGKALAN SATU,6201060
6201061001,PANGKALAN BANTENG,62.01.06.2001,PANGKALAN BANTENG,6201061
6201061002,MULYA JADI,62.01.06.2002,MULYA JADI,6201061
6201061003,AMIN JAYA,62.01.06.2007,AMIN JAYA,6201061
6201061004,NATAI KERBAU,62.01.06.2009,NATAI KERBAU,6201061
6201061005,KARANGMULYA,62.01.06.2003,KARANG MULYA,6201061
6201061006,MARGA MULYA,62.01.06.2006,MARGA MULYA,6201061
6201061007,ARGA MULYA,62.01.06.2008,ARGA MULYA,6201061
6201061008,KEBUN AGUNG,62.01.06.2004,KEBUN AGUNG,6201061
6201061009,SIDO MULYO,62.01.06.2005,SIDO MULYO,6201061
6201061010,SIMPANG BERAMBAI,62.01.06.2010,SIMPANG BERAMBAI,6201061
6201061011,SUNGAI HIJAU,62.01.06.2011,SUNGAI HIJAU,6201061
6201061012,SUNGAI BENGKUANG,62.01.06.2016,SUNGAI BENGKUANG,6201061
6201061013,SUNGAI KUNING,62.01.06.2017,SUNGAI KUNING,6201061
6201061014,SUNGAI PAKIT,62.01.06.2012,SUNGAI PAKIT,6201061
6201061015,BERAMBAI MAKMUR,62.01.06.2013,BERAMBAI MAKMUR,6201061
6201061016,KARANG SARI,62.01.06.2014,KARANG SARI,6201061
6201061017,SUNGAI PULAU,62.01.06.2015,SUNGAI PULAU,6201061
6201062001,PURBASARI,62.01.05.2006,PURBASARI,6201062
6201062002,SUNGAI RANGIT JAYA,62.01.05.2007,SUNGAI RANGIT JAYA,6201062
6201062003,SUMBER AGUNG,62.01.05.2005,SUMBER AGUNG,6201062
6201062004,LADA MANDALA JAYA,62.01.05.2003,LADA MANDALA JAYA,6201062
6201062005,MAKARTI JAYA,62.01.05.2004,MAKARTI JAYA,6201062
6201062006,PANDU SENJAYA,62.01.05.2002,PANDU SANJAYA,6201062
6201062007,PANGKALAN TIGA,62.01.05.2001,PANGKALAN TIGA,6201062
6201062008,KADIPI ATAS,62.01.05.2009,KADIPI ATAS,6201062
6201062009,PANGKALAN DEWA,62.01.05.2008,PANGKALAN DEWA,6201062
6201062010,PANGKALAN DURIN,62.01.05.2011,PANGKALAN DURIN,6201062
6201062011,SUNGAI MELAWEN,62.01.05.2010,SUNGAI MELAWEN,6201062
6201070001,NANGA MUA,62.01.04.2001,NANGA MUA,6201070
6201070002,PANGKUT,62.01.04.1002,PANGKUT,6201070
6201070003,SUKARAMI,62.01.04.2003,SUKARAMI,6201070
6201070004,GANDIS,62.01.04.2004,GANDIS,6201070
6201070005,KERABU,62.01.04.2005,KERABU,6201070
6201070006,SAMBI,62.01.04.2006,SAMBI,6201070
6201070007,PENYOMBAAN,62.01.04.2007,PENYOMBAAN,6201070
6201070008,PANDAU,62.01.04.2008,PANDAU,6201070
6201070009,RIAM,62.01.04.2009,RIAM,6201070
6201070010,PENAHAN,62.01.04.2010,PANAHAN,6201070
6201070011,SUNGAI DAU,62.01.04.2011,SUNGAI DAU,6201070
6202020005,SABAMBAN,62.02.08.2005,SEBAMBAN,6202020
6202020006,SAMUDA BESAR,62.02.08.2006,SAMUDA BESAR,6202020
6202020007,SAMUDA KECIL,62.02.08.2007,SAMUDA KECIL,6202020
6202020008,SAMUDA KOTA,62.02.08.1008,SAMUDA KOTA,6202020
6202020009,BASIRIH HILIR,62.02.08.1009,BASIRIH HILIR,6202020
6202020010,JAYA KELAPA,62.02.08.2010,JAYA KELAPA,6202020
6202020011,BASIRIH HULU,62.02.08.2011,BASIRIH HULU,6202020
6202020012,JAYA KARET,62.02.08.2012,JAYA KARET,6202020
6202020013,SEI IJUM RAYA,62.02.08.2014,SEI IJUM RAYA,6202020
6202020014,HANDIL SOHOR,62.02.08.2013,HANDIL SOHOR,6202020
6202021001,UJUNG PANDARAN,62.02.11.2004,UJUNG PANDARAN,6202021
6202021002,LAMPUYANG,62.02.11.2003,LAMPUYANG,6202021
6202021003,BASAWANG,62.02.11.2002,BASAWANG,6202021
6202021004,PAREBOK,62.02.11.2001,PAREBOK,6202021
6202021005,KUIN PERMAI,62.02.11.2006,KUIN PERMAI,6202021
6202021006,REGEI LESTARI,62.02.11.2005,REGEI LESTARI,6202021
6202050001,SATIRUK,62.02.09.2004,SATIRUK,6202050
6202050002,BAPINANG HILIR LAUT,62.02.09.2003,BAPINANG HILIR LAUT,6202050
6202050003,BAPINANG HILIR,62.02.09.2002,BAPINANG HILIR,6202050
6202050004,BAPINANG HULU,62.02.09.2001,BAPINANG HULU,6202050
6202050005,MAKARTI JAYA,62.02.09.2005,MAKARTI JAYA,6202050
6202050006,RAWA SARI,62.02.09.2006,RAWA SARI,6202050
6202050007,BABIRAH,62.02.09.2008,BABIRAH,6202050
6202050008,HANAUT,62.02.09.2007,HANAUT,6202050
6202050009,SERAMBUT,62.02.09.2009,SERAMBUT,6202050
6202050010,BABAUNG,62.02.09.2010,BABAUNG,6202050
6202050011,BANTIAN,62.02.09.2014,BANTIAN,6202050
6202050012,HANTIPAN,62.02.09.2013,HANTIPAN,6202050
6202050013,PENYAGUAN,62.02.09.2012,PENYAGUAN,6202050
6202050014,BAMADU,62.02.09.2011,BAMADU,6202050
6202060001,PELANGSIAN,62.02.06.2005,PELANGSIAN,6202060
6202060003,KETAPANG,62.02.06.1003,KETAPANG,6202060
6202060004,MENTAWA BARU HILIR,62.02.06.1002,MENTAWA BARU HILIR,6202060
6202060005,MENTAWA BARU HULU,62.02.06.1001,MENTAWA BARU HULU,6202060
6202060006,SAWAHAN,62.02.06.1007,SAWAHAN,6202060
6202060007,BAPEANG,62.02.06.2006,BAPEANG,6202060
6202060008,EKA BAHURUI,62.02.06.2008,EKA BAHURUI,6202060
6202060009,PASIR PUTIH,62.02.06.1009,PASIR PUTIH,6202060
6202060010,TELAGA BARU,62.02.06.2010,TELAGA BARU,6202060
